@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
56,2,2,3,0,0,?
30,0,0,0,0,0,?
38,1,1,1,0,0,?
89,5,5,13,0,0,?
82,4,3,9,0,0,?
34,0,1,0,0,0,?
36,0,1,0,0,0,?
45,1,3,0,0,0,?
35,0,1,0,0,0,?
45,1,3,0,0,0,?
32,0,1,0,0,0,?
44,1,2,0,0,0,?
38,1,1,1,0,0,?
100,8,5,13,0,0,?
103,12,1,13,0,0,?
100,1,3,2,0,2,?
54,0,2,0,0,0,?
75,0,2,1,0,1,?
49,1,2,0,0,0,?
84,2,3,7,0,4,?
77,7,4,13,0,0,?
67,7,4,8,0,0,?
67,4,4,12,0,0,?
131,15,6,53,0,0,?
111,2,8,4,0,0,?
79,3,4,2,0,1,?
249,14,21,38,0,5,?
224,16,15,44,0,4,?
37,1,1,1,0,0,?
202,25,13,152,0,0,?
40,0,1,1,0,0,?
40,0,1,1,0,0,?
41,1,2,0,0,0,?
34,0,0,0,0,0,?
45,1,2,0,0,0,?
42,1,2,0,0,0,?
43,1,2,0,0,0,?
44,1,2,0,0,0,?
75,4,1,9,0,0,?
76,3,5,7,0,0,?
51,2,2,4,0,1,?
51,2,2,4,0,1,?
49,2,3,4,0,0,?
53,3,2,5,0,0,?
64,3,3,10,0,1,?
37,0,2,0,0,0,?
46,1,1,6,0,0,?
46,1,1,6,0,0,?
39,1,1,1,0,0,?
113,12,3,62,0,0,?
68,2,1,13,0,0,?
68,2,1,13,0,0,?
54,2,1,9,0,0,?
71,4,2,17,0,0,?
108,4,5,34,0,0,?
50,1,1,1,0,0,?
41,1,1,3,0,0,?
41,1,1,3,0,0,?
41,1,1,3,0,0,?
41,1,1,3,0,0,?
33,0,1,0,0,0,?
73,2,2,6,0,1,?
33,0,0,0,0,0,?
41,1,1,3,0,0,?
62,4,1,17,0,0,?
39,1,1,1,0,0,?
57,1,1,3,0,0,?
37,1,1,0,0,0,?
36,0,1,1,0,0,?
41,1,1,2,0,0,?
36,0,1,1,0,0,?
41,1,1,2,0,0,?
33,0,1,0,0,0,?
41,1,1,2,0,0,?
56,3,3,5,0,0,?
36,0,1,1,0,0,?
33,0,1,0,0,0,?
42,1,1,2,0,0,?
39,1,1,1,0,0,?
77,3,4,11,0,0,?
76,2,4,11,0,0,?
57,1,4,8,0,0,?
76,2,4,11,0,0,?
76,2,1,10,0,0,?
70,2,3,11,0,0,?
61,4,2,14,0,0,?
153,3,7,10,0,1,?
98,1,3,7,0,0,?
66,0,4,0,0,0,?
40,0,1,1,0,0,?
104,8,4,56,0,0,?
87,8,3,24,0,4,?
44,0,3,0,0,0,?
61,5,4,9,0,0,?
83,3,1,6,0,0,?
63,1,3,8,0,1,?
134,11,10,22,0,3,?
47,0,3,0,0,0,?
67,3,4,6,0,1,?
58,0,4,0,0,0,?
180,24,13,58,0,3,?
90,7,4,23,0,3,?
41,5,1,0,0,0,?
166,10,12,17,0,7,?
77,5,3,11,0,2,?
115,6,8,8,0,9,?
93,5,6,3,0,3,?
71,3,6,4,0,2,?
53,1,2,5,0,2,?
118,6,7,8,0,12,?
59,0,5,0,0,0,?
154,11,12,51,0,1,?
64,1,5,13,0,0,?
43,0,1,6,0,0,?
43,0,1,6,0,0,?
58,7,1,9,0,1,?
109,8,2,50,2,0,?
88,8,3,26,0,5,?
54,0,4,0,0,0,?
128,23,6,50,2,3,?
37,1,1,1,0,0,?
50,1,1,14,0,0,?
69,4,3,21,0,0,?
61,5,2,15,0,0,?
97,11,4,46,0,0,?
79,6,4,34,0,0,?
114,12,3,52,0,2,?
46,3,1,2,0,0,?
45,4,1,4,0,0,?
53,9,1,8,0,0,?
45,3,1,2,0,0,?
84,5,3,49,0,0,?
57,2,2,3,0,0,?
66,2,6,5,0,1,?
43,1,1,3,0,1,?
69,2,1,6,0,0,?
126,14,4,34,2,0,?
46,1,1,7,0,1,?
42,1,1,3,0,1,?
53,0,4,0,0,0,?
57,1,2,3,0,2,?
46,1,3,2,0,0,?
44,1,1,5,0,1,?
89,5,12,0,0,0,?
42,1,1,3,0,1,?
103,10,4,19,1,1,?
39,1,1,1,0,0,?
68,6,2,21,0,0,?
105,8,3,38,0,0,?
73,6,5,15,0,0,?
100,10,3,23,0,1,?
36,0,2,0,0,0,?
50,2,3,2,0,0,?
50,2,3,2,0,0,?
51,1,4,1,0,0,?
49,2,3,2,0,0,?
39,1,1,1,0,0,?
121,7,5,12,2,0,?
53,2,2,1,0,0,?
54,2,2,1,0,0,?
69,7,3,5,0,0,?
53,2,2,1,0,0,?
95,6,4,28,0,0,?
77,2,4,8,0,1,?
