@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
358,21,27,91,0,6,?
813,48,67,233,0,22,?
72,3,3,7,0,1,?
360,24,23,113,0,18,?
74,2,6,5,0,1,?
117,0,13,0,0,0,?
154,16,12,26,0,3,?
79,3,7,5,0,1,?
23,0,0,0,0,0,?
250,15,19,66,1,12,?
37,0,1,0,0,0,?
131,6,7,26,0,5,?
37,0,1,0,0,0,?
328,23,29,57,0,10,?
373,32,23,66,0,20,?
689,53,63,152,0,20,?
300,26,19,54,0,17,?
326,11,19,49,0,11,?
217,4,11,22,0,2,?
30,0,0,0,0,0,?
30,0,0,0,0,0,?
67,2,5,2,0,0,?
64,0,4,0,0,0,?
21,0,0,0,0,0,?
29,0,0,0,0,0,?
249,10,22,27,0,8,?
46,1,2,0,0,0,?
33,0,0,0,0,0,?
162,9,10,41,0,10,?
59,0,3,0,0,0,?
31,0,0,0,0,0,?
20,0,0,0,0,0,?
51,2,2,0,0,0,?
35,1,0,0,0,0,?
20,0,0,0,0,0,?
40,0,1,0,0,0,?
121,9,7,28,0,3,?
78,3,5,7,0,0,?
21,0,0,0,0,0,?
38,0,2,0,0,0,?
30,0,0,0,0,0,?
20,0,0,0,0,0,?
43,0,1,0,0,0,?
187,9,20,10,0,0,?
86,4,8,1,0,0,?
84,0,8,0,0,0,?
137,7,11,10,0,3,?
34,0,1,0,0,0,?
87,2,5,8,0,2,?
34,0,1,0,0,0,?
41,1,2,0,0,0,?
43,0,0,0,0,0,?
388,10,18,197,0,6,?
20,0,0,0,0,0,?
47,1,2,0,0,0,?
258,15,30,0,0,0,?
44,0,2,0,0,0,?
50,0,3,0,0,0,?
32,0,1,0,0,0,?
30,0,0,0,0,0,?
48,0,1,0,0,0,?
97,3,6,12,0,2,?
275,12,18,41,0,4,?
214,4,11,21,0,2,?
21,0,0,0,0,0,?
397,24,23,57,0,14,?
55,1,2,0,0,0,?
57,3,3,3,0,0,?
138,3,9,14,1,0,?
106,2,6,5,0,0,?
54,0,0,0,0,0,?
138,5,10,13,0,2,?
212,10,14,48,0,11,?
52,0,2,0,0,0,?
37,0,1,0,0,0,?
20,0,0,0,0,0,?
58,2,2,3,0,0,?
46,1,2,0,0,0,?
36,1,0,0,0,0,?
51,2,2,0,0,0,?
51,2,2,0,0,0,?
47,1,2,0,0,0,?
20,0,0,0,0,0,?
89,2,4,2,0,0,?
162,7,12,17,0,1,?
20,0,0,0,0,0,?
103,4,7,6,0,1,?
352,17,34,66,0,12,?
127,0,11,0,0,0,?
155,12,12,42,0,11,?
86,3,7,1,0,0,?
20,0,0,0,0,0,?
46,0,1,0,0,0,?
233,13,24,2,0,0,?
64,2,4,12,0,3,?
148,3,10,36,0,5,?
86,8,6,11,0,2,?
116,6,7,16,0,2,?
81,0,0,0,0,0,?
91,10,4,28,0,2,?
53,0,1,0,0,0,?
330,32,20,81,0,12,?
148,3,8,16,0,1,?
219,9,15,21,0,3,?
386,24,28,84,0,22,?
35,0,1,0,0,0,?
20,0,0,0,0,0,?
84,3,5,2,0,1,?
208,9,11,34,0,6,?
98,5,6,14,0,2,?
78,3,5,7,0,0,?
20,0,0,0,0,0,?
80,3,4,25,0,2,?
49,1,2,5,0,0,?
79,3,4,27,0,1,?
97,6,3,8,0,4,?
125,7,7,12,0,3,?
20,0,0,0,0,0,?
659,19,43,93,0,5,?
35,0,1,0,0,0,?
34,0,0,0,0,0,?
191,12,14,65,0,1,?
76,0,3,97,0,0,?
35,0,2,1,0,0,?
51,1,3,5,0,0,?
82,3,8,30,0,0,?
145,12,10,52,0,1,?
145,16,13,77,0,0,?
376,28,30,264,0,2,?
136,2,7,52,0,0,?
82,11,6,34,0,0,?
106,7,8,16,0,0,?
41,1,1,4,0,0,?
206,34,15,90,0,0,?
100,7,5,24,0,1,?
1061,105,87,624,0,2,?
160,19,11,117,0,1,?
129,7,9,38,0,0,?
105,4,6,32,0,1,?
47,1,2,2,0,0,?
47,1,2,2,0,0,?
163,6,12,44,0,2,?
31,0,0,0,0,0,?
26,0,0,0,0,0,?
27,0,0,0,0,0,?
26,0,0,0,0,0,?
26,0,0,0,0,0,?
24,0,0,0,0,0,?
26,0,0,0,0,0,?
26,0,0,0,0,0,?
29,0,0,0,0,0,?
26,0,0,0,0,0,?
24,0,0,0,0,0,?
104,15,7,42,0,1,?
65,3,3,10,0,0,?
24,0,0,0,0,0,?
24,0,0,0,0,0,?
34,0,1,4,0,0,?
86,5,4,16,0,0,?
701,33,59,434,0,3,?
302,49,21,215,0,0,?
89,8,6,20,0,0,?
41,0,1,18,0,0,?
220,18,23,138,0,0,?
312,31,32,112,0,0,?
405,44,38,186,0,0,?
227,29,26,116,0,0,?
569,87,50,327,0,0,?
81,5,5,12,0,0,?
113,7,9,23,0,0,?
129,14,7,46,0,0,?
915,110,98,393,0,0,?
759,131,59,544,0,0,?
100,10,7,19,0,0,?
76,6,4,9,0,0,?
47,2,2,7,0,0,?
64,3,4,21,0,0,?
268,25,24,84,0,0,?
123,16,8,47,0,0,?
199,15,14,56,0,3,?
1868,123,186,539,1,2,?
254,23,34,123,0,0,?
